title,url,source,rejected_at,reason
"Les startups françaises ont levé 66,5 millions d'euros cette semaine",https://www.maddyness.com/2026/05/15/les-startups-francaises-ont-leve-665-millions-deuros-cette-semaine/,Maddyness,2026-05-16T17:35:06.005293,Not a tech/startup event
Éric Larchevêque met déjà fin à l’activité de trésorerie bitcoin de The Bitcoin Society,https://www.maddyness.com/2026/05/14/eric-larcheveque-met-deja-fin-a-lactivite-de-tresorerie-bitcoin-de-the-bitcoin-society/,Maddyness,2026-05-16T17:35:09.460436,Not a tech/startup event
"Dans les fusions-acquisitions, les RH sont devenues le vrai facteur de risque.",https://www.maddyness.com/2026/05/13/dans-les-fusions-acquisitions-les-rh-sont-devenues-le-vrai-facteur-de-risque/,Maddyness,2026-05-16T17:35:14.111817,Not a tech/startup event
"Fakto lève 3,6 millions pour traquer les millions perdus dans les factures fournisseurs",https://www.maddyness.com/2026/05/13/fakto-leve-36-millions-pour-traquer-les-millions-perdus-dans-les-factures-fournisseurs/,Maddyness,2026-05-16T17:35:17.083558,Not a tech/startup event
Tribune Debunk #2 : « Les agents IA vont orchestrer le SI sans friction »,https://www.maddyness.com/2026/05/12/les-agents-ia-vont-orchestrer-le-si-sans-friction/,Maddyness,2026-05-16T17:35:20.537187,Not a tech/startup event
Le patron de Voodoo prend officiellement le contrôle de Konbini et du Gorafi,https://www.maddyness.com/2026/05/12/le-patron-de-voodoo-prend-officiellement-le-controle-de-konbini-et-du-gorafi/,Maddyness,2026-05-16T17:35:23.591337,Not a tech/startup event
“On détruit la boîte qu’on rachète” : Superprof s'offre son rival italien,https://www.maddyness.com/2026/05/12/on-detruit-la-boite-quon-rachete-superprof-soffre-son-rival-italien/,Maddyness,2026-05-16T17:35:26.788917,Not a tech/startup event
"Harvey, la licorne américaine de l'IA juridique ouvre un bureau à Paris",https://www.maddyness.com/2026/05/12/harvey-la-licorne-americaine-de-lia-juridique-ouvre-un-bureau-a-paris/,Maddyness,2026-05-16T17:35:29.619994,Not a tech/startup event
5e édition des Trophées de l’innovation LBP AM : qui seront les licornes françaises de demain ?,https://www.maddyness.com/2026/05/12/5e-edition-des-trophees-de-linnovation-lbp-am-qui-seront-les-licornes-francaises-de-demain/,Maddyness,2026-05-16T17:35:33.028777,Not a tech/startup event
Transformer un projet d'école en startup de la watertech,https://www.maddyness.com/2026/05/12/transformer-un-projet-decole-en-startup-de-la-watertech/,Maddyness,2026-05-16T17:35:37.330428,Not a tech/startup event
"À Lyon, Odoo accélère ses recrutements pour structurer son expansion française",https://www.frenchweb.fr/a-lyon-odoo-accelere-ses-recrutements-pour-structurer-son-expansion-francaise/461793,FrenchWeb,2026-05-16T17:36:38.888746,Not a tech/startup event
Ce que le conflit entre APPLE et OPEN AI révèle de la doctrine historique d’Apple,https://www.frenchweb.fr/ce-que-le-conflit-entre-apple-et-openai-revele-de-la-doctrine-historique-dapple/461779,FrenchWeb,2026-05-16T17:36:41.836483,Not a tech/startup event
FRACTILE lève 187 millions d’euros pour développer les puces destinées aux futurs agents IA,https://www.frenchweb.fr/fractile-leve-187-millions-deuros-pour-developper-les-puces-destinees-aux-futurs-agents-ia/461776,FrenchWeb,2026-05-16T17:36:44.811003,Not a tech/startup event
iPhone 16 reconditionné chez Certideal : faut-il sauter le pas ?,https://www.frenchweb.fr/iphone-16-reconditionne-chez-certideal-faut-il-sauter-le-pas/461761,FrenchWeb,2026-05-16T17:36:48.238685,Not a tech/startup event
